Final Score,First Contenful Paint,Speed Index,Largest Contenful Paint,Time to Interactive,Total Blocking Time,Cumulative Layout Shift,Report Date,URL
51,1979,15383,2792,24444,941,0.133,28/1/2022 @ 15:3:31,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
53,2055,11378,2585,23790,866,0.133,28/1/2022 @ 15:3:43,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
50,2013,11294,2657,23110,1241,0.104,28/1/2022 @ 15:3:54,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
58,1969,12558,2594,23763,649,0.104,28/1/2022 @ 15:4:5,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
45,1994,12149,2471,23981,1346,0.223,28/1/2022 @ 15:4:16,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
50,1958,11723,2515,25393,1177,0.133,28/1/2022 @ 15:4:27,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
54,1979,11920,2531,24142,1003,0.066,28/1/2022 @ 15:4:39,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
57,1985,11508,2387,24042,827,0.065,28/1/2022 @ 15:4:49,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
58,1929,11479,2384,23344,791,0.065,28/1/2022 @ 15:5:0,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
46,2061,11984,2951,25945,1411,0.133,28/1/2022 @ 15:5:11,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
49,2037,11816,2613,25844,1258,0.133,28/1/2022 @ 15:5:22,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
55,2024,11379,2693,24336,820,0.104,28/1/2022 @ 15:5:33,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
50,2004,11571,2323,23877,897,0.223,28/1/2022 @ 15:5:43,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
49,2030,11784,2916,24069,1035,0.134,28/1/2022 @ 15:5:54,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
51,1995,11614,2630,23810,1334,0.066,28/1/2022 @ 15:6:5,https://www.lavanguardia.com/vida/20220128/8018207/gobierno-da-superado-pico-sexta-ola-pandemia.html
